,gene_id,Gene names,type
0,ENSMUSG00000000001,Gnai3,cytoplasm
1,ENSMUSG00000000028,Cdc45 Cdc45l Cdc45l2,nucleus
2,ENSMUSG00000000049,Apoh B2gp1,cytoplasm
3,ENSMUSG00000000058,Cav2,cytoplasm
4,ENSMUSG00000000085,Scmh1,nucleus
5,ENSMUSG00000000093,Tbx2,nucleus
6,ENSMUSG00000000094,Tbx4,nucleus
7,ENSMUSG00000000103,Zfy2 Zfy-2,nucleus
8,ENSMUSG00000000120,Ngfr Tnfrsf16,integral membrane
9,ENSMUSG00000000125,Wnt3 Int-4 Wnt-3,cytoplasm
10,ENSMUSG00000000127,Fer Fert2,nucleus
11,ENSMUSG00000000134,Tfe3 Tcfe3,nucleus
12,ENSMUSG00000000142,Axin2,nucleus
13,ENSMUSG00000000148,Brat1 Baat1,nucleus
14,ENSMUSG00000000149,Gna12 Gna-12,cytoplasm
15,ENSMUSG00000000167,Pih1d2,cytoplasm
16,ENSMUSG00000000171,Sdhd,integral membrane
17,ENSMUSG00000000182,Fgf23,cytoplasm
18,ENSMUSG00000000183,Fgf6 Fgf-6 Hstf2,cytoplasm
19,ENSMUSG00000000184,Ccnd2 Cyl-2,nucleus
20,ENSMUSG00000000194,Gpr107 Kiaa1624,integral membrane
21,ENSMUSG00000000214,Th,nucleus
22,ENSMUSG00000000215,Ins2 Ins-2,nucleus
23,ENSMUSG00000000216,Scnn1g,integral membrane
24,ENSMUSG00000000247,Lhx2,nucleus
25,ENSMUSG00000000248,Clec2g Clec2f Ddv10 Ocilrp1,integral membrane
26,ENSMUSG00000000275,Trim25 Efp Zfp147 Znf147,nucleus
27,ENSMUSG00000000276,Dgke,integral membrane
28,ENSMUSG00000000282,Mnt Rox,nucleus
29,ENSMUSG00000000295,Hddc2,cytoplasm
30,ENSMUSG00000000296,Tpd52l1,cytoplasm
31,ENSMUSG00000000301,Pemt Pempt Pemt2,integral membrane
32,ENSMUSG00000000317,Bcl6b Bazf,nucleus
33,ENSMUSG00000000318,Clec10a Mgl Mgl1,integral membrane
34,ENSMUSG00000000320,Alox12 Alox12p,cytoplasm
35,ENSMUSG00000000326,Comt Comt1,integral membrane
36,ENSMUSG00000000339,RtcA Rpc1 Rtcd1,nucleus
37,ENSMUSG00000000340,Dbt,cytoplasm
38,ENSMUSG00000000346,Dazap2 Prtb,cytoplasm
39,ENSMUSG00000000365,Rnf17,nucleus
40,ENSMUSG00000000378,Ccm2 Osm,cytoplasm
41,ENSMUSG00000000385,Tmprss2,integral membrane
42,ENSMUSG00000000386,Mx1 Mx,nucleus
43,ENSMUSG00000000392,Fap,integral membrane
44,ENSMUSG00000000394,Gcg,cytoplasm
45,ENSMUSG00000000411,Tssk3 Stk22c Stk22d,nucleus
46,ENSMUSG00000000420,Galnt1,integral membrane
